,lr_1,lr_2,lr_3,lr_4,lr_5,lr_6,lr_7,lr_8,lr_9,lr_10,rf_1,rf_2,rf_3,rf_4,rf_5,rf_6,rf_7,rf_8,rf_9,rf_10,svc_1,svc_2,svc_3,svc_4,svc_5,svc_6,svc_7,svc_8,svc_9,svc_10
MP0132,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
MP0135,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False
MP0136,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False
MP0138,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0141,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
MP0142,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False
MP0146,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0150,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0151,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
MP0154,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
MP0156,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0159,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MP0167,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP0176,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
MP0183,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000003,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
exRNA000005,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
exRNA000035,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
exRNA000048,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,True,False
exRNA000053,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000059,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False
exRNA000066,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False
exRNA000086,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
exRNA000091,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
exRNA000097,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False
exRNA000099,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False
exRNA000107,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000110,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000118,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
exRNA000145,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
exRNA000172,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000183,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
exRNA000191,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
exRNA000210,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False
exRNA000221,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
exRNA000394,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,True,True,False
