feature_name	feature_importance
MP0043	0.2695240928378849
exRNA000005	0.16617729258383934
MP0008	0.16261924537453276
MP0050	0.11690519984093811
MP0159	0.11651335812856822
MP0076	0.10077342479417208
MP0103	0.09861895324814947
MP0095	0.08315540707715953
exRNA000183	0.08212467212077174
TAGLN	0.07508042158256296
MP0042	0.06794098758230163
MP0151	0.06713877468470816
MP0128	0.06654296115966804
exRNA000003	0.06302646214475068
MP0086	0.0628935848157232
MP0044	0.05854224834930488
MP0132	0.054063524750743025
MP0141	0.052857443294882886
A2M	0.052238907353416006
CFH	0.049994620992464066
exRNA000059	0.042914656421996426
MP0009	0.04166938220919005
exRNA000091	0.03712301490836215
MP0018	0.036909251191912816
MP0085	0.03686111712112415
MP0142	0.033234925851061504
exRNA000408	0.031642326025432536
HBA1	0.027803362660162458
MP0074	0.027437812926731267
HBZ	0.027232272033697595
MP0093	0.026959036982687867
MP0080	0.024530248653979878
exRNA000191	0.021301879167299264
subgroup_SIDD	0.018364927210988913
MP0118	0.017337549475155978
MP0136	0.015954826295587757
MP0077	0.012535461739590538
MP0073	0.01211001797142494
MP0120	0.011823541050068824
MP0010	0.011714659037858817
exRNA000035	0.008860129537953008
SHBG	0.007505108898569222
MP0138	0.006984899118020175
VTN	0.006068294780240814
MP0183	0.004958372015846977
exRNA000118	0.004670623549817954
MP0098	0.0022207519378284403
MP0116	0.0016082781264146247
subgroup_SIRD	0.0
C3	0.0
APOF	0.0
APOE	0.0
APOD	0.0
MP0021	0.0
MP0088	0.0
exRNA000394	0.0
exRNA000221	0.0
exRNA000210	0.0
MP0092	0.0
MP0087	0.0
MP0082	0.0
subgroup_MOD	0.0
subgroup_MARD	0.0
YWHAQ	0.0
YWHAH	0.0
TUBA4A	0.0
MP0015	0.0
IGLV1.51	0.0
PRG4	0.0
NAP1L1	0.0
MFGE8	0.0
METTL18	0.0
MP0022	0.0
IGKV1.16	0.0
IGFBP2	0.0
MP0075	0.0
SERPINF2	0.0
MP0102	0.0
MP0112	0.0
MP0101	0.0
MP0119	0.0
MP0122	0.0
MP0066	0.0
MP0131	0.0
MP0064	0.0
MP0135	0.0
MP0100	0.0
MP0057	0.0
MP0146	0.0
MP0150	0.0
MP0154	0.0
MP0156	0.0
exRNA000107	0.0
MP0167	0.0
MP0176	0.0
MP0035	0.0
MP0034	0.0
exRNA000048	0.0
exRNA000053	0.0
MP0026	0.0
exRNA000066	0.0
exRNA000086	0.0
MP0024	0.0
exRNA000097	0.0
exRNA000099	0.0
exRNA000110	0.0
exRNA000145	0.0
exRNA000172	0.0
MP0038	0.0
