data_type,algo,seed,train.val,auc
omics,svc,2,0,0.7574952561669829
omics,rf,2,0,0.7469955724225175
omics,lr,2,0,0.7673624288425047
omics,avg,2,0,0.7778621125869702
subtype,svc,2,1,0.6150986842105263
subtype,rf,2,1,0.6142598684210526
subtype,lr,2,1,0.6142598684210526
subtype,avg,2,1,0.6142598684210526
all,svc,2,0,0.7587602783048705
all,rf,2,0,0.7012650221378874
all,lr,2,0,0.7726755218216318
all,avg,2,0,0.7692599620493358
all,svc,2,1,0.7470723684210526
all,rf,2,1,0.7324506578947367
all,lr,2,1,0.7485197368421053
all,avg,2,1,0.7650657894736842
subtype,svc,2,0,0.5533839342188489
subtype,rf,2,0,0.5809614168247945
subtype,lr,2,0,0.5809614168247945
subtype,avg,2,0,0.5809614168247945
omics,svc,2,1,0.7419243421052631
omics,rf,2,1,0.7371052631578947
omics,lr,2,1,0.7493092105263158
omics,avg,2,1,0.7572697368421052
omics,svc,4,0,0.7677419354838709
omics,rf,4,0,0.6670461733080328
omics,lr,4,0,0.7205566097406705
omics,avg,4,0,0.7577482605945605
subtype,svc,4,1,0.6224999999999999
subtype,rf,4,1,0.6170723684210526
subtype,lr,4,1,0.6170723684210526
subtype,avg,4,1,0.6265131578947368
all,svc,4,0,0.7253636938646426
all,rf,4,0,0.7220746363061353
all,lr,4,0,0.7270082226438963
all,avg,4,0,0.7468690702087286
all,svc,4,1,0.7228453947368421
all,rf,4,1,0.7216447368421053
all,lr,4,1,0.7228618421052632
all,avg,4,1,0.7359539473684211
subtype,svc,4,0,0.572675521821632
subtype,rf,4,0,0.5809614168247945
subtype,lr,4,0,0.5809614168247945
subtype,avg,4,0,0.5823529411764705
omics,svc,4,1,0.7038815789473685
omics,rf,4,1,0.7191447368421053
omics,lr,4,1,0.7144407894736842
omics,avg,4,1,0.7451315789473684
omics,svc,6,0,0.7511701454775459
omics,rf,6,0,0.7612903225806452
omics,lr,6,0,0.7507906388361797
omics,avg,6,0,0.771157495256167
subtype,svc,6,1,0.6000822368421053
subtype,rf,6,1,0.6161019736842105
subtype,lr,6,1,0.6161019736842105
subtype,avg,6,1,0.6092927631578947
all,svc,6,0,0.7596457938013915
all,rf,6,0,0.6322580645161291
all,lr,6,0,0.7471220746363062
all,avg,6,0,0.7425679949399115
all,svc,6,1,0.7339802631578947
all,rf,6,1,0.7363815789473684
all,lr,6,1,0.7306250000000001
all,avg,6,1,0.7588815789473683
subtype,svc,6,0,0.5533839342188489
subtype,rf,6,0,0.5809614168247945
subtype,lr,6,0,0.5809614168247945
subtype,avg,6,0,0.5809614168247945
omics,svc,6,1,0.7414638157894736
omics,rf,6,1,0.7393092105263157
omics,lr,6,1,0.7346052631578948
omics,avg,6,1,0.7573684210526317
omics,svc,9,0,0.7568627450980393
omics,rf,9,0,0.6738140417457305
omics,lr,9,0,0.7767235926628716
omics,avg,9,0,0.7653383934218848
subtype,svc,9,1,0.620345394736842
subtype,rf,9,1,0.6152796052631578
subtype,lr,9,1,0.6152796052631578
subtype,avg,9,1,0.6248190789473684
all,svc,9,0,0.7364958886780519
all,rf,9,0,0.6651486401012017
all,lr,9,0,0.7673624288425048
all,avg,9,0,0.7597722960151803
all,svc,9,1,0.7403618421052632
all,rf,9,1,0.7308552631578948
all,lr,9,1,0.7483223684210526
all,avg,9,1,0.7767763157894737
subtype,svc,9,0,0.572675521821632
subtype,rf,9,0,0.5809614168247945
subtype,lr,9,0,0.5809614168247945
subtype,avg,9,0,0.5823529411764705
omics,svc,9,1,0.7276644736842106
omics,rf,9,1,0.7375
omics,lr,9,1,0.7486184210526317
