feature_name,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_mean,avg_std,avg_rank,rf_1,rf_2,rf_3,rf_4,rf_5,rf_6,rf_7,rf_8,rf_9,rf_10,rf_mean,rf_std,rf_rank,svc_1,svc_2,svc_3,svc_4,svc_5,svc_6,svc_7,svc_8,svc_9,svc_10,svc_mean,svc_std,svc_rank,lr_1,lr_2,lr_3,lr_4,lr_5,lr_6,lr_7,lr_8,lr_9,lr_10,lr_mean,lr_std,lr_rank
MP0043,0.1609707235936315,0.1723963280097177,0.0790373557541182,0.2030571677213017,0.27036106250592,0.3063979684380783,0.2185895159984918,0.4112645536143689,0.3756762359498777,0.3672056803401918,0.2564956591925698,0.10250772047253143,1,0.0149456739473629,0.0293475275881207,0.0221167224771492,0.0184683296955404,0.0105811388053117,0.0886313035589467,0.0742229899364526,0.0715298161113917,0.0817173322052994,0.0239134066921857,0.0435474241017761,0.029654184191341575,1,0.4372352699405757,0.2232113591859337,0.184885557849598,0.4705741017781037,0.1682506060420653,0.184885557849598,0.184885557849598,0.6455973152742145,0.4372352699405757,0.4705741017781037,0.34073346974883667,0.16177510263147402,1,0.0338406773154302,0.2695240928378849,0.0338406773154302,0.1224526353228813,0.6340962889242224,0.6525615147047613,0.4192272403442502,0.5270629185999365,0.6203145337084194,0.6113703276857432,0.39242909067589593,0.24288836673012582,1
MP0008,0.1356181411920475,0.1178120207386404,0.0413433943028805,0.1450547224094126,0.1779910038182998,0.1889032758543108,0.081187866793104,0.3031223280873885,0.2636913705233398,0.2811063729149621,0.17358304966343857,0.08252583973654391,2,0.0265598091932449,0.0256744883132746,0.0080107716740332,0.0123244751790675,0.0183008533092475,0.0264606883324037,0.0337543487810419,0.0163486942673321,0.0091382831187103,0.0361121376642987,0.02126845498326544,0.009415497978461881,4,0.3808097443686005,0.1655148582727054,0.1161351743517256,0.4229772327244038,0.1003287292889289,0.1161351743517256,0.1161351743517256,0.5579549036564715,0.3808097443686005,0.4229772327244038,0.2779777968459291,0.162595165713672,3,0.0,0.1626192453745327,0.0,0.0,0.4191658891154854,0.4317421447366514,0.1054582309395026,0.3364964671354052,0.4016861088488309,0.3846164538993663,0.22417845400497746,0.17877902735642126,2
exRNA000005,0.1400138013910581,0.1178460282866992,0.0512032373797833,0.148238170366868,0.171145698249278,0.1870255928094851,0.092870349790347,0.2886635907373712,0.2615393582682068,0.2656589006844461,0.17242047279635428,0.07483192070259037,3,0.0050794901680014,0.0010445395792527,0.0054385617643145,0.00583102032145,0.0,0.0168241360707713,0.0,0.0126129977453674,0.0028993076976133,0.0050794901680014,0.0054809543514771995,0.005161481390723403,21,0.4164005337305413,0.1881086957391361,0.1488206720756325,0.4399674401018154,0.134516612590697,0.1488206720756325,0.1488206720756325,0.5401367658558113,0.4164005337305413,0.4399674401018154,0.3021960038077255,0.15243600694190287,2,0.0,0.1661772925838393,0.0,0.0,0.3789204821571372,0.3997764584125052,0.1297903772954085,0.3172214632713322,0.3659310999581072,0.3533710545544306,0.21111882282327601,0.16172722049136623,3
TAGLN,0.1108320581670283,0.0577230411151351,0.0252730947262561,0.1241242619816925,0.0998384440074417,0.1116071493153377,0.0249507216929286,0.2226009060244136,0.1798999133332844,0.1845668624126165,0.11414164527761343,0.06356459905484169,4,0.0,0.0009746220125372,0.00122222467948,0.0006597407151926,0.0,0.0,0.0,0.0014963983280464,0.0025300022573811,0.0,0.00068829879926373,0.0008235014300891949,104,0.3324961745010851,0.0978072705131262,0.0748521650787858,0.3721427391882028,0.0645756743233186,0.0748521650787858,0.0748521650787858,0.4929101560585084,0.3324961745010851,0.3721427391882028,0.22891274235098863,0.1573475943083707,4,0.0,0.0750804215825629,0.0,0.0,0.2349396576990067,0.2599692828672274,0.0,0.1760981317537122,0.2080717796438909,0.1815578480496466,0.11357171215960467,0.10329572699310637,7
MP0076,0.0690123815657159,0.0726836688188024,0.0283347929068531,0.0715007712928305,0.1130500044368815,0.1230400268389741,0.0331592427706612,0.1843208033679481,0.1518274881662296,0.1463711493300165,0.09933003294949129,0.04976468226715345,5,0.0,0.0012012144998635,0.0022442074074014,0.0,0.0022089341182808,0.0047790648190099,0.0045640785613911,0.0090542886297973,0.0020051382813033,0.0,0.0026056926317047304,0.0027043192853191725,51,0.2070371446971478,0.116620295964566,0.0831397292115263,0.2145023138784915,0.0704774493466193,0.0831397292115263,0.0831397292115263,0.3277172380330844,0.2070371446971478,0.2145023138784915,0.16073130881301273,0.08130701303153862,5,0.0,0.100773424794172,0.0,0.0,0.2670715500767014,0.2827714461930237,0.0127840679349993,0.2184449433938458,0.2468219167465868,0.224611134111558,0.1353278483250887,0.11728544978166608,5
MP0050,0.0626075199944414,0.0774656604015168,0.0303632538567476,0.061521086389545,0.1026345163578149,0.1066579364880309,0.05113323545756,0.1237731144835571,0.1321856061311695,0.1275112627255845,0.08758531922859676,0.033899598086419486,6,0.0106903649128572,0.0102173290814173,0.0049588484968224,0.0017080589635644,0.0150186403947364,0.0055140157944723,0.0,0.0106545271659881,0.0100892662441672,0.0094137467830637,0.0078264797837089,0.004399344289523651,12,0.1814477936526642,0.1068096078579938,0.0862004977010163,0.1837620231457255,0.0802259939332831,0.0862004977010163,0.0862004977010163,0.1712160627208797,0.1814477936526642,0.1837620231457255,0.1347272791211985,0.04617378967418334,10,0.0,0.1169051998409381,0.0,0.0,0.218403976806289,0.2304732249822118,0.0671992086716637,0.1926224133438578,0.2060363258805415,0.193393126625889,0.12250334761513908,0.09267433586284636,6
MP0095,0.0661607632844232,0.0567064941691332,0.0201091467314007,0.0599632504818525,0.0955671372654875,0.1068534801096557,0.0221370740179807,0.1412092120651311,0.1321815389865353,0.1262134153617431,0.0827101512473343,0.041911540292978174,7,0.0209088226469742,0.0134103799317146,0.0086428975826849,0.0076971452056598,0.0192087168309095,0.0320159796402945,0.0,0.0266659047507437,0.0089357203400669,0.0209088226469742,0.015839438957602228,0.009296121802630033,7,0.1817884334250631,0.0741252976077034,0.0518515238550877,0.1725348269779517,0.0463428210938247,0.0518515238550877,0.0518515238550877,0.2220414266226079,0.1817884334250631,0.1725348269779517,0.12067106376954287,0.06710134075368528,14,0.0,0.0831554070771595,0.0,0.0,0.2221195181733265,0.2381378399279639,0.0145596981988545,0.1754677349767613,0.2061332990577502,0.1896585759225592,0.1129232073334375,0.09742035134995765,8
MP0159,0.0278693746387328,0.0687562308689486,0.0260406708530202,0.0279804079271346,0.1134036363027323,0.1175145002753326,0.0320165333756767,0.0910273432610502,0.1127861354434836,0.1036236980226382,0.07210185309687497,0.03797108131807171,8,0.0,0.0036709864174538,0.0046322586838929,0.0093244474642041,0.0060917917878671,0.004742350650441,0.0,0.0013688634183881,0.002604426888019,0.0,0.0032435125310266003,0.0029143127880646,36,0.0836081239161985,0.0869774450686881,0.0736570596479018,0.0746297789637759,0.0669980794793181,0.0736570596479018,0.0736570596479018,0.0589482026334671,0.0836081239161985,0.0746297789637759,0.07503707118851276,0.007867786007964818,34,0.0,0.1165133581285682,0.0,0.0,0.2695339855002628,0.2767482635117276,0.0223925404791284,0.214977669132812,0.254085525021696,0.2362413151041387,0.13904926568783338,0.11685580324405023,4
exRNA000003,0.0630587879086517,0.0426602784204773,0.0183442636290722,0.0747682942413534,0.0529446640265056,0.054460195382199,0.0362795090157722,0.1515154193574244,0.0927691931536499,0.104353139405654,0.06911537445407596,0.036730976531570286,9,0.0139331393248289,0.0089331557251845,0.0045536065871339,0.0058697077269175,0.0208298988934486,0.0166901862587711,0.0395429740975074,0.0121990222810089,0.0074528317884269,0.0153677878038917,0.01453723104871194,0.009656268082305164,9,0.1821312144159683,0.0581034382965417,0.0510361384720256,0.2195687117313189,0.0452619656986428,0.0510361384720256,0.0510361384720256,0.3635126448995451,0.1821312144159683,0.2195687117313189,0.1423386316605381,0.10273348851036102,8,0.0,0.0630264621447506,0.0,0.0,0.0970535264211626,0.1071111916339323,0.0310213515126569,0.0833861700210877,0.0906191445141083,0.0841360597263449,0.055635390597404334,0.041373718619979016,13
exRNA000183,0.0489052439250918,0.0578160480183824,0.0279169375495207,0.0474529538445868,0.0741190433427508,0.0805582280274879,0.0600634222235353,0.090752488693842,0.09731135797906,0.0947929136169578,0.06796886372212156,0.022022666986122125,10,0.0137452649863536,0.0061396919746753,0.0046937667293816,0.0048403430211721,0.0,0.0196928000213274,0.03273627192039,0.009111414551,0.0088044274206691,0.0,0.00997639806249691,0.009469999999995883,11,0.1361933934974602,0.0892357555713648,0.0790880075352683,0.1380667203518094,0.0752914392684886,0.0790880075352683,0.0790880075352683,0.1298209686838795,0.1361933934974602,0.1380667203518094,0.1080132413828077,0.02793485256653485,19,0.0,0.0821246721207717,0.0,0.0,0.1470656907597639,0.1453243457258595,0.0758207544977711,0.1342002183054322,0.1472093858258707,0.1463120204990639,0.0878057087734533,0.0626337095514392,9
