ytruth,ypred
0,0.7290957225036725
1,0.5551050819389359
1,0.47158346630821874
1,0.4911267082671899
0,0.43539692703886484
0,0.6511080935057004
0,0.17256532849138764
1,0.5467151252004671
0,0.5032839772229387
1,0.42977636824918725
1,0.762203085056564
0,0.5783203887296219
0,0.4896919030424711
1,0.6393051864686191
0,0.4777097297453499
0,0.3774400575701254
0,0.39428116943878444
0,0.5189381087491598
1,0.4928559252369326
1,0.7924615897463396
1,0.6717373554989958
1,0.5360587935100402
0,0.6208756033651037
0,0.506159015370531
1,0.8276149643362775
0,0.44113352691305546
0,0.6785439786063457
1,0.36757697980456827
1,0.7366792726273786
0,0.5974519531067258
0,0.34440348702483137
0,0.41493801547985076
0,0.4244439816012015
0,0.45928473363368644
1,0.7018928344789951
1,0.6448416622416592
1,0.4498548517937854
1,0.520773921961175
1,0.5579287629254511
0,0.4086127700614073
0,0.3220888200968773
1,0.7564049193130152
1,0.6912362726665219
1,0.8843959536538745
0,0.5249687254508494
0,0.6512210039543888
1,0.77054806441559
0,0.6487184540973457
0,0.3397713510733351
1,0.8556816078948869
1,0.5324243086169237
1,0.5446490336973805
1,0.722029958828001
1,0.4576087903449951
1,0.7045260689524854
1,0.8959336920625103
1,0.8491927265578422
0,0.4102960308919697
0,0.34047741960947436
1,0.717872340602872
0,0.2965134086571352
0,0.5043541458102346
0,0.4440946334647829
0,0.2676758574704706
0,0.46737681619631516
1,0.6334465958301998
1,0.7043086710289898
1,0.6669109368375378
0,0.3877722432372362
0,0.42119825043325637
0,0.4773275543556903
0,0.26758854646183067
1,0.6152666240310855
1,0.47192049105434913
0,0.35577984134868146
0,0.26495098342636464
0,0.4225786951099981
1,0.442429811605892
1,0.8196394062340536
0,0.7374077370372797
1,0.4345194431744031
1,0.6379661127591469
0,0.4232499496008029
1,0.48298808660871334
0,0.22285184165349836
0,0.3011991647948036
1,0.7487761904429573
0,0.19000851830045162
0,0.43089362436443174
0,0.43568912680151756
1,0.2572382452508229
1,0.31609145694492286
0,0.38733318060896593
1,0.46561350958435765
0,0.23669740630796746
1,0.36472031958478784
0,0.26980693987067195
0,0.4993204492111671
1,0.6047433271234344
1,0.7903697669145439
0,0.5446961361439244
1,0.7269936658446854
0,0.537213931443408
0,0.5669650389559832
1,0.5693677132707896
0,0.5697402189284065
0,0.6473508578568854
1,0.7086725214041397
1,0.5298127782199283
0,0.2894192831343596
0,0.4063636498467626
0,0.2044407975898909
1,0.4662397338633659
1,0.7549706492352634
1,0.8471272129259746
0,0.6996207622281081
0,0.8275059428630631
1,0.7742894389693843
0,0.7553908385613118
1,0.6276992930141418
0,0.5491907983244847
0,0.4249683879211086
0,0.6701418954431771
1,0.5677508107871133
0,0.28191658035951417
0,0.5239232393621839
1,0.7036018354005017
0,0.43888713568934384
0,0.43642524193393745
0,0.5302223023568836
1,0.31920172320717505
0,0.3758873500270705
0,0.6395475265876295
1,0.7988838279626301
1,0.5130431893236088
0,0.39257550304120814
0,0.41211443704493833
1,0.8071482737599389
1,0.7690061573191519
1,0.5216211901599211
0,0.44153096746851156
0,0.5428171335609564
1,0.8587968780385938
0,0.5442187699059077
0,0.3371460040351803
1,0.6538158195211676
0,0.8380554377473236
1,0.6651520881308697
0,0.5147457260323521
0,0.548759229631333
1,0.8607553074262054
1,0.7182274803010436
1,0.7174327641242089
0,0.30748573456982314
1,0.8136373465873742
1,0.5407472124739797
0,0.7818530316041409
1,0.6946306113405986
0,0.6875705684950218
0,0.5390970740921548
1,0.6965112250267983
0,0.7524003526431802
1,0.7105196024855281
1,0.5746383734102515
1,0.6107389609322676
0,0.47575035502524016
1,0.7217388701933062
1,0.68319597761693
0,0.5592455722147541
0,0.42243834897693805
0,0.388126043925221
1,0.6563438123820028
1,0.3745201436337464
0,0.1994219098069773
1,0.7849939182174053
1,0.8870565777870804
0,0.35605275729883074
0,0.7173771286504964
